Sesotho (st)	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
amohele	0	0	0	0	0	0	0	0	0	0
ho monya	0	0	0	0	0	0	0	0	0	0
ho amoheleha	0	0	0	0	0	0	0	0	0	0
ipehe	0	0	0	0	0	0	0	0	0	0
ho se khaotse	0	0	0	0	0	0	0	0	0	0
ho ithiba	0	0	0	0	0	0	0	0	0	0
tse sa utloahaleng	0	0	0	0	0	0	0	0	0	0
ho fapana	0	0	0	0	0	0	0	0	0	0
e sa utloahaleng	0	1	0	0	0	0	0	0	0	0
ho hloka boikutlo	0	1	0	0	0	0	0	0	0	0
ho hongata	1	1	0	1	1	0	1	0	0	1
e ngata	1	0	0	0	0	0	1	0	0	0
ho hlekefetsoa	0	1	1	0	1	1	0	1	0	0
sekhobo	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
e hlabang	0	1	0	0	0	0	0	1	0	0
mohohlong	0	1	0	0	0	1	0	1	0	0
sekolo	1	0	0	0	0	0	0	0	0	1
sekolo	1	0	0	0	0	0	0	0	0	0
lumella	0	0	0	0	0	0	0	0	0	0
ho potlakisa	0	0	0	1	0	0	0	0	0	0
ho potlaka	0	0	0	0	0	0	0	0	0	0
ho bua hantle	0	0	0	0	0	0	0	0	0	0
accentuate	0	0	0	0	0	0	0	0	0	0
amohela	0	0	0	0	0	0	0	0	0	0
e amohelehang	1	0	0	0	0	0	0	0	0	0
ho amohela	1	0	0	0	0	0	0	0	0	0
ho fihlella	0	0	0	0	0	0	0	0	0	0
ho fihlella	1	0	0	0	0	0	0	0	0	0
ho ba teng	0	0	0	0	0	0	0	0	0	0
lisebelisoa	0	0	0	0	0	0	0	0	0	0
kotsi	0	1	0	0	0	1	0	1	1	0
kotsi	0	1	0	0	0	1	0	0	1	0
ka phoso	0	0	0	0	0	0	0	0	1	0
ho kopa	1	0	0	1	0	0	1	0	1	1
ho amohela	0	0	0	0	0	0	0	0	0	0
bolulo	1	0	0	0	0	0	0	0	0	0
hammoho	1	0	0	1	0	0	1	0	0	1
tsamaea le bona	0	0	0	0	0	0	0	0	0	0
e tsamaeang le	0	0	0	0	0	0	0	0	0	0
motsoalle	0	0	0	0	0	0	0	0	0	0
phetha	1	0	0	0	0	0	1	0	0	0
e finyelitsoe	1	0	0	0	0	0	1	0	0	0
se finyelloang	1	0	0	0	0	0	0	0	0	0
ho lumellana	1	0	0	0	0	0	0	0	0	1
ho latela	0	0	0	0	0	0	0	0	0	0
accordion	0	0	0	0	0	0	0	0	0	0
akhaonto	0	0	0	0	0	0	0	0	0	1
boikarabello	1	0	0	0	0	0	0	0	0	1
ikarabella	1	0	0	0	0	0	0	0	0	1
mookameli	0	0	0	0	0	0	0	0	0	1
litlaleho	0	0	0	0	0	0	0	0	0	0
litlaleho	0	0	0	0	0	0	0	0	0	1
ba amohelehang	1	0	0	0	0	0	0	0	0	1
accretion	0	0	0	0	0	0	0	0	0	0
eketseha	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
bokella	0	0	0	0	0	0	0	0	0	0
ho bokella	0	0	0	0	0	0	0	0	0	0
ho nepahala	0	0	0	0	0	0	0	0	0	0
e nepahetse	1	0	0	0	0	0	0	0	0	1
e rohakiloe	0	1	1	0	0	1	0	1	0	0
qoso	0	1	1	0	1	0	0	0	0	0
moqosi	0	1	0	0	0	0	0	0	0	0
ba qosoa	0	1	1	0	0	1	0	0	0	0
moqosi	0	1	1	0	0	1	0	0	0	0
ho qosa	0	1	1	0	0	1	0	0	0	0
tloaetse	0	0	0	0	0	0	0	0	0	0
ace	1	0	0	0	0	0	0	0	0	0
acetic	0	0	0	0	0	0	0	0	0	0
bohale	0	1	0	0	0	0	0	1	0	0
finyella	1	0	0	0	0	0	1	0	0	1
katleho	1	0	0	1	0	0	1	0	0	1
ho opa	0	1	0	0	0	0	0	1	0	0
acid	0	1	0	0	0	0	0	0	0	0
acidity	0	0	0	0	0	0	0	0	0	0
lumela	0	0	0	0	0	0	0	0	0	0
a lumela	0	0	0	0	0	0	0	0	0	0
ho lumela	1	0	0	0	0	0	0	0	0	0
acme	0	0	0	0	0	0	0	0	0	0
mofuthu	0	0	0	0	0	0	0	0	0	0
li-acoustics	0	0	0	0	0	0	0	0	0	0
tloaelane	0	0	0	0	0	0	0	0	0	0
tloaelano	0	0	0	0	0	0	0	0	0	0
tloaelane	0	0	0	0	0	0	0	0	0	0
amohela	0	0	0	0	0	0	0	0	0	0
fumana	1	0	0	0	0	0	0	0	0	0
ho fumana	1	0	0	1	0	0	0	0	0	0
ho fumana	0	0	0	0	0	0	0	0	0	0
thepa	0	0	0	0	0	0	0	0	0	0
ho tsuba	0	0	0	0	0	0	0	0	0	0
acres	0	0	0	0	0	0	0	0	0	0
acrobat	1	0	0	0	0	1	1	0	0	1
ketso	0	0	0	0	0	0	0	0	0	0
e sebetsang	0	0	0	0	0	0	0	0	0	0
ketso	1	0	0	0	0	0	0	0	0	0
e sebetsang	0	1	1	0	1	0	0	0	0	0
e sebetsang	0	0	0	0	0	0	0	0	0	0
mosebetsi	0	0	0	0	0	0	0	0	0	0
sebapali	0	0	0	0	0	0	0	0	0	0
e le hantle	1	0	0	0	0	0	0	0	0	0
hona joale	0	0	0	0	0	0	0	0	0	0
hona joale	0	0	0	0	0	0	0	0	0	0
mahlahahlaha	1	0	0	0	0	0	0	0	0	0
acumen	1	0	0	0	0	0	0	0	0	0
ho entsoe ka majoe	0	0	0	0	0	0	0	0	0	0
e le hantle	0	0	0	0	0	0	0	0	0	0
khabiso	0	0	0	0	0	0	0	0	0	0
khaotsa	0	0	0	0	0	0	0	0	0	0
ikamahanya le maemo	1	0	0	0	0	0	0	0	0	0
fetoha	1	0	0	0	0	0	0	0	0	0
eketsa	0	0	0	0	0	0	0	0	0	0
e kentsoe	0	0	0	0	0	0	0	0	0	0
addendum	0	0	0	0	0	0	0	0	0	0
adder	0	1	1	0	1	1	0	1	0	0
lemalla	0	1	0	0	0	0	0	0	0	0
eketsa	0	0	0	0	0	0	0	0	0	0
e eketsehileng	0	0	0	0	0	0	0	0	0	0
kenyelletso	0	0	0	0	0	0	0	0	0	0
aterese	0	0	0	0	0	0	0	0	0	0
setsetsi	0	0	0	0	0	0	0	0	0	0
liaterese	1	0	0	1	0	0	0	0	0	0
e ntle	1	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
e lekaneng	0	0	0	0	0	0	0	0	0	0
khomarela	0	0	0	0	0	0	0	0	0	0
ho khomarela	0	0	0	0	0	0	0	0	0	0
ho lumellana	0	0	0	0	0	0	0	0	0	0
ho khomarela	0	0	0	0	0	0	0	0	0	1
ho khomarela	0	0	0	0	0	0	0	0	0	0
ho khomarela	0	0	0	0	0	0	0	0	0	0
adieu	0	0	0	0	0	0	0	0	0	0
adipose	0	1	0	0	0	0	0	0	0	0
haufi	0	0	0	0	0	0	0	0	0	0
haufi	0	0	0	0	0	0	0	0	0	0
sefetoleli	0	0	0	0	0	0	0	0	0	0
e kopanetsoeng	0	0	0	0	0	0	0	0	0	0
tlohela	0	0	0	0	0	0	0	0	0	0
ho khutlela morao	0	0	0	0	0	0	0	0	0	0
ho nyatsa	0	1	0	0	0	1	0	0	0	0
ho qosoa	0	0	0	0	0	0	0	0	0	0
ho kopa	1	0	0	0	0	0	0	0	0	0
fetola	0	0	0	0	0	0	0	0	0	0
phetoho	0	0	0	0	0	0	0	0	0	0
sehlahlo	0	0	0	0	0	0	0	0	0	0
tsamaisa	0	0	0	0	0	0	0	0	0	0
tsamaiso	0	0	0	0	0	0	0	0	0	0
tsamaiso	0	0	0	0	0	0	0	0	0	1
e babatsehang	1	0	0	0	0	0	1	0	0	1
admiral	1	0	0	0	0	0	0	0	0	1
admiralty	0	0	0	0	0	0	0	0	0	0
tlhompho	1	0	0	0	0	0	1	0	0	1
khahloa	1	0	0	0	0	0	0	0	0	1
lumela	1	0	0	0	0	0	0	0	0	0
ho amoheleha	0	0	0	0	0	0	0	0	0	0
e amoheleha	1	0	0	0	0	0	0	0	0	1
kamohelo	0	0	0	0	0	0	0	0	0	0
lumela	0	0	0	0	0	0	0	0	0	0
ho amohela	0	0	0	0	0	0	0	0	0	0
a lumela	0	0	0	0	0	0	0	0	0	0
ho lumela	0	0	0	0	0	0	0	0	0	0
ho kenyelletsoa	0	0	0	0	0	0	0	0	0	0
keletso	0	1	0	0	0	1	0	0	0	0
ado	0	0	0	0	0	0	0	0	0	0
adobe	0	0	0	0	0	0	0	0	0	0
bocha	0	0	0	0	0	0	0	0	0	0
mocha	0	0	0	0	0	0	0	0	0	0
amohela	0	0	0	0	0	0	0	0	0	0
ho amoheloa	0	0	0	0	0	0	0	0	0	0
e ratehang	1	0	0	0	0	0	1	0	0	0
khumamelo	1	0	0	0	0	0	1	0	0	1
rata	1	0	0	1	0	0	1	0	0	1
mokhabiso	0	0	0	0	0	0	0	0	0	0
mokhabiso	0	0	0	0	0	0	0	0	0	0
ho ba teng	0	1	0	1	0	1	0	1	0	0
e moholo	0	0	0	0	0	0	0	0	0	0
ba silafalitsoe	0	1	0	0	0	0	0	0	0	0
bofebe	0	1	0	0	1	0	0	1	0	0
e tsoele pele	1	0	0	1	0	1	1	0	1	0
e tsoetseng pele	1	0	0	0	0	0	0	0	0	0
tsoelo-pele	1	0	0	0	0	0	0	0	0	0
ho hatela pele	0	0	0	0	0	0	0	0	0	0
molemo	1	0	0	0	0	0	0	0	0	0
e molemo	1	0	0	0	0	0	0	0	0	0
ho tla	1	0	0	1	0	0	1	0	0	1
ho ithabisa	1	0	0	1	0	0	0	0	0	0
setsebi	0	0	0	0	0	0	0	0	0	0
ba ratang	1	0	0	0	0	0	0	0	0	0
mohanyetsi	0	1	1	0	0	0	0	0	0	0
e mpe	0	1	1	0	1	1	0	1	0	0
mahlomola	0	1	1	0	0	1	0	1	0	0
phatlalatsa	0	0	0	0	0	0	0	0	0	0
papatso	0	0	0	0	0	0	0	0	0	0
keletso	0	0	0	0	0	0	0	0	0	1
e le bohlale	1	0	0	0	0	0	0	0	0	1
eletsa	1	0	0	0	0	0	0	0	0	1
e eletsoa	0	0	0	0	0	0	0	0	0	1
eletsa	0	0	0	0	0	0	0	0	0	0
moeletsi	1	0	0	0	0	0	0	0	0	1
bobuelli	1	0	1	1	0	0	1	0	0	1
moemeli	0	0	0	0	0	0	0	0	0	1
aegis	0	0	0	0	0	0	0	0	0	0
aeration	0	0	0	0	0	0	0	0	0	0
sefofane	0	0	0	0	0	0	0	0	0	0
sefofane sa maoto	0	0	0	0	0	0	0	0	0	0
aerodynamics	0	0	0	0	0	0	0	0	0	0
aeronautics	0	0	0	0	0	0	0	0	0	0
sefofane	0	0	0	0	0	0	0	0	0	0
boitlhahiso	1	0	0	0	0	0	0	0	0	0
aesthetics	1	0	0	0	0	0	1	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
hole	0	0	0	0	0	0	0	0	0	0
e senyeha	1	0	0	0	0	0	0	0	0	0
taba	0	0	0	0	0	0	0	0	0	0
e amang	0	0	0	0	0	0	0	0	0	0
lerato	1	0	0	0	0	0	1	0	0	1
litakatso	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
bopaki	0	0	0	0	0	0	0	0	0	0
ba kopantsoe	1	0	0	0	0	0	0	0	0	0
ho ba le setsoalle	0	0	0	0	0	0	0	0	0	0
bonngoe	0	0	0	0	0	0	0	0	0	0
netefatsa	1	0	0	0	0	0	0	0	0	1
tiiso	1	0	0	0	0	0	0	0	0	0
ho tiisa	1	0	0	0	0	0	0	0	0	0
ho tiisa	1	0	0	0	0	0	0	0	0	1
khaola	0	0	0	0	0	0	0	0	0	0
utloisa bohloko	0	1	0	0	0	1	0	1	0	0
ba mahlomoleng	0	1	0	0	0	0	0	0	0	0
mahlomola	0	1	0	0	1	1	0	1	0	0
maruo	1	0	0	0	0	0	1	0	0	0
ba ruileng	1	0	0	0	0	0	0	0	0	0
ho lefa	1	0	0	0	0	0	0	0	0	0
affront	0	1	1	0	1	1	0	1	1	0
sebakeng seo	0	0	0	0	0	0	0	0	0	0
afore	0	0	0	0	0	0	0	0	0	0
e boletsoeng ka holimo	0	0	0	0	0	0	0	0	0	0
e boletsoeng ka holimo	0	0	0	0	0	0	0	0	0	0
t?aba	0	1	0	0	0	1	0	0	0	0
khafetsa	0	0	0	0	0	0	0	0	0	0
aft	0	0	0	0	0	0	0	0	0	0
ka morao	0	1	1	0	1	1	0	1	0	0
thapama	0	0	0	0	0	0	0	0	0	0
kamor'a morao	0	1	0	0	0	0	0	0	0	0
ho latela	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	1	0	0	0	1
agate	0	0	0	0	0	0	0	0	0	0
lilemo	0	0	0	0	0	0	0	0	0	0
ba tsofetseng	0	0	0	0	0	0	0	0	0	0
mokhatlo	0	0	0	0	0	0	0	0	0	0
moemeli	0	0	0	0	0	0	0	0	0	0
ho felisa	0	0	0	0	0	0	0	0	0	0
e mpefalitsoe	0	1	1	0	0	0	0	0	0	0
ho mpefatsa	0	1	1	0	0	0	0	1	0	0
ho senya	0	1	1	0	1	0	0	0	0	0
kakaretso	0	0	0	0	0	0	0	0	0	0
ho hlophisa	0	0	0	0	0	0	0	0	0	0
pefo	0	1	1	0	0	1	0	0	0	0
e mabifi	0	1	1	0	0	1	0	0	0	0
mohatelli	0	1	1	0	0	1	0	0	0	0
ho tsuba	0	1	0	0	1	1	0	0	1	0
agile	1	0	0	0	0	0	0	0	0	0
bokhoni	1	0	0	0	0	0	0	0	0	0
ferekane	0	1	1	0	0	0	0	0	0	0
pherekano	0	1	1	0	0	0	0	0	0	0
agnostic	0	0	0	0	0	0	0	0	0	0
e fetileng	0	0	0	0	0	0	0	0	0	0
bohloko	0	1	0	0	0	1	0	0	0	0
bohloko	0	1	1	0	0	1	0	1	0	0
lumellana	1	0	0	0	0	0	0	0	0	0
lumellane	1	0	0	0	0	0	0	0	0	1
ba lumellane	1	0	0	0	0	0	0	0	0	1
ho lumellana	1	0	0	0	0	0	0	0	0	1
tumellano	1	0	0	0	0	0	0	0	0	1
temo	0	0	0	0	0	0	0	0	0	0
temo	1	0	0	0	0	0	0	0	0	0
mokoloko	0	1	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
pele	1	0	0	0	0	0	0	0	0	0
thuso	1	0	0	0	0	0	0	0	0	0
ho thusa	1	0	0	0	0	0	0	0	0	0
ho joalo	0	1	0	0	0	0	0	1	0	0
ba kulang	0	1	0	0	0	1	0	1	0	0
ho kula	0	0	0	0	0	0	0	0	0	0
sepheo	0	0	0	0	0	0	0	0	0	0
e se nang morero	0	1	0	0	0	0	0	0	0	0
moea	0	0	0	0	0	0	0	0	0	0
airbag	0	0	0	0	0	0	0	0	0	0
sefofane sa lifofane	0	0	0	0	0	0	0	0	0	0
sefofane sa lifofane	0	0	0	0	0	0	0	0	0	0
sefofane	0	0	0	0	0	0	0	0	0	0
sefofane	0	0	0	0	0	0	0	0	0	0
boema-fofane	0	0	0	1	0	0	0	0	0	0
lifofane	0	1	0	0	1	0	0	0	0	0
sefofane	0	0	0	0	0	0	0	0	0	0
tsela	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
e t?oana le	0	0	0	0	0	0	0	0	0	1
alabaster	1	0	0	0	0	0	0	0	0	0
alamo	0	1	0	0	0	1	0	0	1	0
e t?osang	0	1	0	0	0	1	0	0	1	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	1
album	0	0	0	0	0	0	0	0	0	0
alchemy	0	0	0	0	0	0	0	0	0	0
joala	0	0	0	0	0	0	0	0	0	0
tahi ea tahi	0	1	1	0	1	1	0	1	0	0
joala	0	0	0	0	0	0	0	0	0	0
ela hloko	0	0	0	0	0	0	0	0	0	0
hlokolosi	1	0	0	1	0	1	0	0	1	0
litlhokomeliso	0	0	0	1	0	1	0	0	1	0
alfalfa	0	0	0	0	0	0	0	0	0	0
algebra	0	0	0	0	0	0	0	0	0	0
algebraic	0	0	0	0	0	0	0	0	0	0
algorithm	0	0	0	0	0	0	0	0	0	0
alibi	0	0	0	0	0	0	0	0	0	0
mojaki	0	1	0	0	1	1	0	0	0	0
arohana	0	1	1	0	1	0	0	0	0	0
ba arohane	0	1	0	0	0	0	0	1	0	0
ho arohana	0	1	1	0	1	1	0	1	0	0
e fele	0	0	0	0	0	0	0	0	0	0
e lumellane	0	0	0	0	0	0	0	0	0	0
alignment	0	0	0	0	0	0	0	0	0	0
ka tsela e t?oanang	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
alimony	0	1	0	0	0	0	0	0	0	0
aliquot	0	0	0	0	0	0	0	0	0	0
e phela	1	0	0	1	0	0	1	0	0	1
alkali	0	0	0	0	0	0	0	0	0	0
alkaloids	0	0	0	0	0	0	0	0	0	0
khaola	1	0	0	0	0	0	0	0	0	0
nyeoe	0	1	1	0	0	0	0	0	0	0
bolela	0	1	0	0	0	0	0	0	0	0
ho thoe	0	0	0	0	0	0	0	0	0	0
bot?epehi	1	0	0	0	0	0	0	0	0	1
lit?oant?iso	0	0	0	0	0	0	0	0	0	0
lit?oant?o	0	0	0	0	0	0	0	0	0	0
allegro	1	0	0	0	0	0	0	0	0	0
fokotsa	1	0	0	0	0	0	0	0	0	0
ho fokotsa	1	0	0	0	0	0	0	0	0	0
seretse	0	0	0	0	0	0	0	0	0	0
bonngoe	0	0	0	0	0	0	0	0	0	1
li kopantsoe	1	0	0	0	0	0	0	0	0	1
alligator	0	0	0	0	0	0	0	0	0	0
kabelo	0	0	0	0	0	0	0	0	0	0
kabelo	0	0	0	0	0	0	0	0	0	0
allot	0	0	0	0	0	0	0	0	0	0
kabelo	0	0	0	0	0	0	0	0	0	0
e amohelehang	1	0	0	0	0	0	0	0	0	0
kabelo	0	0	0	0	0	0	0	0	0	0
e lumeletsoe	0	0	0	0	0	0	0	0	0	0
alloy	0	0	0	0	0	0	0	0	0	0
ho kheloha	1	0	0	1	0	0	1	0	1	0
ho khotsofatsa	1	0	0	0	0	0	0	0	0	0
ho bua	0	0	0	0	0	0	0	0	0	0
alluvial	0	0	0	0	0	0	0	0	0	0
molekane	1	0	0	0	0	0	0	0	0	1
almanac	0	0	0	0	0	0	0	0	0	0
ea matla 'ohle	1	0	0	0	0	0	0	0	0	0
phahama	0	0	0	0	0	0	0	0	0	0
aloha	1	0	0	1	0	0	1	0	0	0
haufi le	0	0	0	0	0	0	0	0	0	0
ho se tsotelle	0	1	0	0	0	0	0	0	0	0
holimo	0	0	0	0	0	0	0	0	0	0
alfabeta	0	0	0	0	0	0	0	0	0	0
litlhaku tsa alfabeta	0	0	0	0	0	0	0	0	0	0
aletareng	0	0	0	0	0	0	0	0	0	0
fetola	0	0	0	0	0	0	0	0	0	0
phetoho	0	0	0	0	0	0	0	0	0	0
phetoho	0	1	1	0	0	0	0	0	0	0
e fetotsoe	0	0	0	0	0	0	0	0	0	0
ngoe	0	0	0	0	0	0	0	0	0	0
mefuta e meng	0	0	0	0	0	0	0	0	0	0
bophahamong	0	0	0	0	0	0	0	0	0	0
alto	0	0	0	0	0	0	0	0	0	0
ka ho feletseng	0	0	0	0	0	0	0	0	0	0
alumnus	0	0	0	0	0	0	0	0	0	0
holimo	0	0	0	0	0	0	0	0	0	0
hlaka	0	0	0	0	0	0	0	0	0	0
ho kopana	0	0	0	0	0	0	0	0	0	0
ema	0	0	0	0	0	0	0	0	0	0
ho ts'oara	0	0	0	0	0	0	0	0	0	0
makatsoa	0	0	0	0	0	0	0	0	1	0
makatsoa	0	0	0	0	0	0	0	0	0	0
ho makatsang	1	0	0	0	0	0	1	0	1	0
moemeli	1	0	0	0	0	0	0	0	0	1
li-amber	0	0	0	0	0	0	0	0	0	0
ho ea holimo	0	0	0	0	0	0	0	0	0	0
ho hloka kutloisiso	0	0	0	0	0	0	0	0	0	0
ho sa tsotellehe	0	1	0	0	0	0	0	0	0	0
li-ambit	0	0	0	0	0	0	0	0	0	0
boikhohomoso	1	0	0	1	0	0	1	0	0	1
ho rata maemo	0	0	0	0	0	0	0	0	0	0
ambulense	0	0	0	0	0	1	0	0	0	1
ba emetse	0	1	1	0	0	1	0	0	1	0
hlahisa tlhokomelo	1	0	0	0	0	0	0	0	0	0
Amen	1	0	0	0	0	0	1	0	0	1
e khonehang	1	0	0	0	0	0	0	0	0	0
fetola	1	0	0	0	0	0	0	0	0	0
ho fetoloa	0	0	0	0	0	0	0	0	0	0
e fetisa	1	0	0	0	0	0	0	0	0	0
bonono	1	0	0	0	0	0	0	0	0	0
amethyst	0	0	0	0	0	0	0	0	0	0
ea ratehang	1	0	0	0	0	0	0	0	0	0
e khahlehang	1	0	0	0	0	0	1	0	0	0
har'a	0	0	0	0	0	0	0	0	0	0
har'a	0	0	0	0	0	0	0	0	0	0
ammonia	0	0	0	0	1	0	0	0	0	0
lihlomo	0	0	0	0	0	0	0	0	0	0
amnesia	0	1	0	0	0	0	0	0	0	0
t?oarelo ea t?oarelo	1	0	0	0	0	0	1	0	0	0
amorphous	0	0	0	0	0	0	0	0	0	0
amortization	0	0	0	0	0	0	0	0	0	1
palo	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	1	0	0	1	0	0	1
ampersand	0	0	0	0	0	0	0	0	0	0
amphetamines	0	1	0	0	1	0	0	0	0	0
amphibian	0	0	0	0	0	0	0	0	0	0
li-amphibious	0	0	0	0	0	0	0	0	0	0
holo ea lipapali	0	0	0	0	0	0	0	0	0	0
ho h?lisa	0	0	0	0	0	0	0	0	0	0
eketsa	0	0	0	0	0	0	0	0	0	0
boholo ba tsona	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
ho khaola	0	0	0	0	0	0	0	0	0	0
amulet	0	0	0	0	0	0	0	0	0	0
khahlisa	1	0	0	0	0	0	1	0	0	0
ho senyeha	1	0	0	0	0	0	1	0	0	0
boithabiso	1	0	0	0	0	0	1	0	0	0
ho monate	1	0	0	0	0	0	1	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
anaconda	0	1	0	0	1	1	0	0	0	0
anesthesia	0	0	0	0	0	0	0	0	0	0
ho it?oara	0	0	0	0	0	0	0	0	0	0
anal	0	1	0	0	0	0	0	0	0	0
analgesic	0	0	0	0	0	0	0	0	0	0
e t?oana	0	0	0	0	0	0	0	0	0	0
analogue	0	0	0	0	0	0	0	0	0	0
ho t?oana	0	0	0	0	0	0	0	0	0	0
tlhahlobo	0	0	0	0	0	0	0	0	0	0
mohlahlobisisi	1	0	0	1	0	0	0	0	0	1
tlhahlobo	0	0	0	0	0	0	0	0	0	0
hlahloba	0	0	0	0	0	0	0	0	0	0
analyzer	0	0	0	0	0	0	0	0	0	0
anarchism	0	1	1	0	0	1	0	0	0	0
anarchist	0	1	1	0	0	1	0	0	0	0
merusu	0	1	1	0	0	1	0	0	0	0
anastomosis	0	0	0	0	0	0	0	0	0	0
anathema	0	1	1	0	1	1	0	1	0	0
anatomic	0	0	0	0	0	0	0	0	0	0
anatomy	0	0	0	0	0	0	0	0	0	0
moholo-holo	0	0	0	0	0	0	0	0	0	0
baholo-holo	0	0	0	0	0	0	0	0	0	1
holo	0	0	0	0	0	0	0	0	0	0
ankora	1	0	0	0	0	0	0	0	0	0
anchorage	1	0	0	0	0	0	0	1	0	0
ea boholo-holo	0	1	0	0	0	0	0	0	0	0
ancillary	0	0	0	0	0	0	0	0	0	0
androgen	0	0	0	0	0	0	0	0	0	0
anemone	0	0	0	0	0	0	0	0	0	0
e ncha	0	0	0	0	0	0	0	0	0	0
lengeloi	1	0	0	1	0	0	1	0	1	1
mangeloi	1	0	0	0	0	0	1	0	0	1
bohale	0	1	1	0	0	0	0	0	0	0
angina	0	1	0	0	0	1	0	0	0	0
angiography	0	0	0	0	0	0	0	0	0	0
angle	0	0	0	0	0	0	0	0	0	0
angling	0	1	0	1	0	0	0	0	0	0
khalefo	0	1	1	0	1	0	0	0	0	0
bohloko	0	1	1	0	0	1	0	1	0	0
e le 'ngoe	0	0	0	0	0	0	0	0	0	0
anhydrous	0	0	0	0	0	0	0	0	0	0
phoofolo	0	0	0	0	0	0	0	0	0	0
fofa	1	0	0	0	0	0	0	0	0	0
lipapatso	1	0	0	0	0	0	1	0	0	0
papali	0	0	0	0	0	0	0	0	0	0
lehloeo	0	1	1	0	1	1	0	1	0	0
animus	0	1	1	0	0	0	0	0	0	0
ankle	0	0	0	0	0	0	0	0	0	0
e tlaleha	0	0	0	0	0	0	0	0	0	0
kakaretso	0	0	0	0	0	0	0	0	0	0
ho tlatsoa	0	0	0	0	0	0	0	0	0	0
